id|lat|lon|iso country|poly country|link
890432177|Granada|37.178055555|-3.600833333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890432177/
890432311|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432311/
890432347|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432347/
890432349|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432349/
890432351|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432351/
890432391|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432391/
890432393|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432393/
890432399|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432399/
421187309|Bordeaux|44.837778|-0.579444|VI|FR|https://whosonfirst.mapzen.com/spelunker/id/421187309/
890432569|Barcelona|41.3825|2.176944444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890432569/
890432573|Barcelona|41.3825|2.176944444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890432573/
890432575|Barcelona|41.3825|2.176944444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890432575/
890432591|Bangui|4.361388888|18.555277777|PH|CF|https://whosonfirst.mapzen.com/spelunker/id/890432591/
101941239|Derby|52.916667|-1.466667|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101941239/
890433179|Murcia|37.986111111|-1.130277777|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890433179/
890433229|Lugo|43.011666666|-7.557222222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890433229/
890434093|Pontevedra|42.433611111|-8.6475|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890434093/
890434141|Pamplona|42.816666666|-1.65|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890434141/
890434145|Pamplona|42.816666666|-1.65|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890434145/
101941667|Badajos|38.88|-6.97|BR|ES|https://whosonfirst.mapzen.com/spelunker/id/101941667/
890434785|Matanzas|23.049444|-81.573611|DO|CU|https://whosonfirst.mapzen.com/spelunker/id/890434785/
101755783|Bergen|60.3925|5.323333|BE|NO|https://whosonfirst.mapzen.com/spelunker/id/101755783/
890436639|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890436639/
890438511|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890438511/
890438543|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890438543/
101942725|Murajá|58.465556|23.226389|BR|EE|https://whosonfirst.mapzen.com/spelunker/id/101942725/
890440075|Cadiz|36.516666666|-6.283333333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890440075/
890439909|Barcelona|41.3825|2.176944444|VE|ES|https://whosonfirst.mapzen.com/spelunker/id/890439909/
890439929|San Salvador|13.69|-89.19|PH|SV|https://whosonfirst.mapzen.com/spelunker/id/890439929/
